Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W230830072020001,Ahmedabad,VIRAMGAM,Viramgam2,Dug Well,8.69,4928.0,3302.0,48.0,281.0,1250.0,6.0,351.0,1.32,310.0,332.0,63.0,340.0,980.0,10.7,23.11,6.0,
W213630071133001,Amreli,AMRELI,Amreli,Dug Well,8.0,1424.0,954.0,0.0,549.0,170.0,22.0,116.0,0.35,450.0,564.0,41.0,580.0,116.0,3.3,2.09,2.0,
W213845071063001,Amreli,AMRELI,Ankadia mota,Dug Well,7.95,1334.0,894.0,0.0,378.0,170.0,115.0,60.0,0.48,310.0,68.0,48.0,370.0,156.0,3.2,3.53,1.0,
W213230071093001,Amreli,AMRELI,Govadka,Dug Well,8.01,2548.0,1707.0,0.0,305.0,532.0,105.0,263.0,0.31,250.0,120.0,168.0,1000.0,170.0,2.8,2.34,2.0,
W215500071130001,Amreli,BABRA,Untvad,Dug Well,8.01,855.0,573.0,0.0,317.0,78.0,45.0,42.0,0.3,260.0,92.0,29.0,350.0,47.0,3.0,1.09,4.0,
W212845070574501,Amreli,BAGASARA,Bagasara,Dug Well,7.75,1900.0,1273.0,0.0,390.0,227.0,225.0,255.0,0.5,320.0,120.0,14.0,360.0,337.0,0.4,7.72,1.0,
W213500070580001,Amreli,BAGASARA,Vaghania juna,Dug Well,8.22,935.0,626.0,0.0,354.0,128.0,41.0,8.0,0.45,290.0,56.0,24.0,240.0,127.0,9.4,3.56,5.0,
W212500071100001,Amreli,DHARI,Chalala,Dug Well,8.23,620.0,415.0,0.0,183.0,78.0,20.0,70.0,0.36,150.0,48.0,22.0,210.0,65.0,1.6,1.95,2.0,
W212000071120001,Amreli,DHARI,Dharangani,Dug Well,8.2,294.0,197.0,0.0,110.0,28.0,6.0,15.0,0.0,90.0,24.0,14.0,120.0,14.0,2.3,0.56,2.0,
W212015071023001,Amreli,DHARI,Dhari,Dug Well,7.73,1708.0,1144.0,0.0,354.0,241.0,125.0,109.0,0.2,290.0,84.0,84.0,560.0,133.0,0.6,2.44,3.0,
W212350071130001,Amreli,DHARI,Kerala,Dug Well,8.17,1642.0,1100.0,0.0,525.0,241.0,32.0,35.0,0.23,430.0,28.0,29.0,190.0,298.0,0.7,9.4,5.0,
W212234071070701,Amreli,DHARI,Morjhar,Dug Well,8.03,560.0,375.0,0.0,220.0,57.0,9.0,17.0,0.23,180.0,48.0,17.0,190.0,45.0,1.2,1.42,4.0,
W211515071090001,Amreli,DHARI,Virpur,Dug Well,7.93,1100.0,737.0,0.0,451.0,78.0,114.0,14.0,0.24,370.0,92.0,50.0,440.0,68.0,1.1,1.41,4.0,
W205205071214501,Amreli,JAFRABAD,Bherai,Dug Well,8.24,898.0,602.0,0.0,281.0,149.0,12.0,3.0,0.44,230.0,20.0,10.0,90.0,161.0,11.4,7.38,6.0,
W205200071214501,Amreli,JAFRABAD,Jafrabad,Dug Well,8.1,1746.0,1170.0,0.0,232.0,383.0,22.0,21.0,0.36,190.0,48.0,43.0,300.0,220.0,54.0,5.52,20.0,
W205530071211501,Amreli,JAFRABAD,Nageshri,Dug Well,8.05,640.0,429.0,0.0,268.0,57.0,15.0,55.0,0.25,220.0,52.0,31.0,210.0,74.0,12.8,2.22,4.0,
W205345071121501,Amreli,JAFRABAD,Timbi2,Dug Well,7.91,665.0,446.0,0.0,183.0,106.0,37.0,54.0,0.4,150.0,36.0,22.0,180.0,96.0,8.7,3.11,3.0,
W210630071153001,Amreli,KHAMBHA,Bhavardi1,Dug Well,8.24,899.0,602.0,0.0,329.0,71.0,90.0,32.0,0.5,270.0,76.0,38.0,350.0,59.0,1.6,1.37,3.0,
W211400071120001,Amreli,KHAMBHA,Ingorala,Dug Well,7.95,956.0,641.0,0.0,354.0,57.0,76.0,93.0,0.42,290.0,48.0,67.0,400.0,60.0,0.4,1.3,3.0,
W210900071142001,Amreli,KHAMBHA,Khamba,Dug Well,8.28,925.0,620.0,0.0,310.0,50.0,39.0,182.0,0.3,254.0,52.0,24.0,280.0,123.0,3.9,3.2,3.0,
W210100071165001,Amreli,KHAMBHA,Trakuda,Dug Well,8.17,190.0,127.0,0.0,73.0,21.0,11.0,27.0,0.02,60.0,28.0,10.0,110.0,8.0,1.2,0.33,3.0,
