"SN","Well D","District","Taluka","Location","Type","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","SAR","Arsenic",""
"346","W224330073453001","Panchmahals","GHOGHAMBA","Ranipura","Dug Well","8.12","1654","1108","0","488","213","135","44","1.70","400","64","88","520","158","3.3","3.01","",""
"347","W224609073352801","Panchmahals","GODHRA","Godhra UR_2","Dug Well","8.03","1016","681","0","317","149","34","13","0.95","260","60","17","220","136","1.1","3.99","2",""
"348","W224648073362501","Panchmahals","GODHRA","Godhra UR_3","Dug Well","8.26","283","190","0","183","21","3","11","0.35","150","32","12","130","30","1.7","1.14","2",""
"349","W224815073281501","Panchmahals","GODHRA","Tuwa","Dug Well","8.22","815","546","0","415","32","4","0","0.00","340","32","34","220","78","16.9","2.29","",""
"350","W223030073303001","Panchmahals","HALOL","Timbi2","Dug Well","8.00","908","608","0","415","64","39","22","0.05","340","36","71","380","49","1.4","1.09","",""
"351","W224145073333001","Panchmahals","KALOL","Vejalpur","Dug Well","8.13","2381","1595","0","708","383","32","10","0.50","580","96","126","760","165","37.9","2.60","",""
"352","W230110073311001","Panchmahals","LUNAWADA","Kothamba","Dug Well","7.94","1621","1086","0","268","312","65","86","0.70","220","104","44","440","170","2.4","3.52","1",""
"353","W231215073360001","Panchmahals","LUNAWADA","Limbadia peti","Dug Well","8.20","794","532","0","366","64","9","15","1.25","300","40","36","250","77","2.3","2.12","",""
"354","W230745073363001","Panchmahals","LUNAWADA","Lunawada","Dug Well","8.24","2123","1422","0","451","469","15","31","0.23","370","208","19","600","223","16.4","3.96","",""
"355","W231350073441001","Panchmahals","LUNAWADA","Malekpur1","Dug Well","8.27","686","460","0","281","57","31","30","1.03","230","64","12","210","74","3.0","2.22","",""
"356","W224800073484501","Panchmahals","MORWA (HADAF)","Santroad","Dug Well","8.26","697","467","0","293","57","16","4","1.15","240","60","17","220","56","2.2","1.64","",""
"357","W230900073463001","Panchmahals","SANTRAMPUR","Gadhar","Dug Well","8.06","747","500","0","207","107","40","15","1.15","170","76","10","230","66","3.3","1.89","",""
"358","W231130073543001","Panchmahals","SANTRAMPUR","Santrampur 1","Dug Well","8.22","904","606","0","268","135","19","19","1.71","220","68","12","230","102","1.3","2.92","",""
"359","W225715073373001","Panchmahals","SHEHERA","Shehra","Dug Well","8.27","1754","1175","0","708","163","55","35","0.82","580","40","32","230","246","100.2","7.05","4",""
"360","W224940073364501","Panchmahals","GODHRA","Chhabanpur","Dug Well","8.16","759","509","0","244","99","48","17","0,82","200","68","15","230","78","2.0","2.24","3",""
"361","W224531073302401","Panchmahals","Kalol","Dhanol","Dug Well","8.60","1914","1282","85","634","241","46","17","2.80","661","20","12","100","445","1.9","19.35","1",""
"362","W224615073380001","Panchmahals","GODHRA","Godhra2","Dug Well","7.19","71","48","0","49","14","7","2","0.15","40","16","0","40","13","0.0","0.89","",""
"363","W224734073362401","Panchmahals","GODHRA","Godhra UR_1","Dug Well","8.26","828","555","0","342","92","21","11","0,82","280","40","34","240","93","1.6","2.61","",""
"364","","Panchmahals","JAMBUGODHA","Jambughora","Dug Well","8.11","975","653","0","305","149","35","7","0,95","250","64","19","240","120","2.8","3.37","1",""
"365","W222405073410601","Panchmahals","JAMBUGODHA","Javan","Dug Well","8.20","487","326","0","159","64","8","14","0.70","130","44","12","160","39","13.4","1.34","",""
"366","W230343073371301","Panchmahals","LUNAWADA","Jokha","Dug Well","8.27","997","668","0","451","78","12","18","1.25","370","80","7","230","130","7.6","3.73","",""
"367","W223601073263601","Panchmahals","KALOL","Kalol UR_1","Dug Well","8.45","1259","844","96","390","135","22","17","0.60","480","92","56","460","115","4.1","2.33","1",""
"368","W223523073270501","Panchmahals","KALOL","Kalol UR_2","Dug Well","8.26","1506","1009","0","488","192","95","14","1.03","400","112","32","410","165","1.0","3.54","",""
"369","W223944073300101","Panchmahals","GODHRA","Khadki Vadiya","Dug Well","8.28","1254","840","0","586","99","3","17","1.80","480","36","54","310","155","1.4","3.83","",""
"370","W232212073403801","Panchmahals","KHANPUR","Khanpur","Dug Well","8.15","665","446","0","244","71","52","3","0.65","200","52","27","240","50","1.1","1.40","",""
"371","W231042073390801","Panchmahals","LUNAWADA","Kantha","Dug Well","8.20","708","474","0","305","71","9","11","1.05","250","40","15","160","98","1.7","3.37","2",""
"372","W224800073484501","Panchmahals","MORWA (HADAF)","Natapur","Dug Well","8.24","773","518","0","305","85","13","6","1.60","250","68","5","190","93","2.3","2.93","",""
"373","W231340073583701","Panchmahals","FATEPURA","Sarsava","Dug Well","8.02","624","418","0","268","36","21","12","0.80","220","48","19","200","47","1.9","1.44","2",""
"374","W230344073510301","Panchmahals","MORWA (HADAF)","Suliyat","Dug Well","8.28","927","621","0","306","128","25","59","1.00","251","96","12","290","105","6.5","2,68","",""
"375","W234150072041001","Patan","CHANASMA","Dharmoda","Dug Well","8.49","1011","677","96","183","57","6","112","0.00","310","36","22","180","153","35.0","4.96","15",""
"376","W233930072164501","Patan","CHANASMA","Dhinoj","Dug Well","8.26","2200","1474","0","683","277","14","60","0.00","560","104","46","450","228","70.0","4.67","3",""
"377","W235100072060001","Patan","PATAN","Patan2","Dug Well","7.96","3977","2665","0","915","638","245","171","1.50","750","140","192","1150","410","46.0","5.26","15",""
"378","W234600072151501","Patan","PATAN","Sander","DCB","8.41","631","423","72","159","43","4","15","0.00","250","48","24","220","51","11.7","1.49","",""
"379","W234645072094501","Patan","PATAN","Shankhari","Dug Well","8.40","778","521","108","49","50","4","102","1.10","220","36","22","180","103","9.7","3.34","",""
"380","W234930071365002","Patan","RADHANPUR","Radhanpur2","Dug Well","8.22","2800","1876","0","659","674","13","24","1.10","540","160","36","550","456","37.0","8.45","16",""
"381","W233540071465001","Patan","SAMI","Moti chander","Dug Well","7.54","29200","19564","0","769","11132","95","971","1.20","630","660","912","5450","5600","72.0","32.98","14",""
"382","W233850071060001","Patan","SANTALPUR","Piprala","Dug Well","8.56","6594","4418","156","647","1631","150","118","3.00","790","120","132","850","1160","0.9","17.30","",""
"383","W212702069590001","Porbandar","KUTIYANA","Kadegi","Dug Well","8.14","4240","2841","0","378","1008","21","345","0.35","310","120","88","660","675","3.9","11.42","",""
"384","W213750070010001","Porbandar","KUTIYANA","Kutiyana1","Dug Well","7.67","2664","1785","0","207","596","60","186","0.45","170","112","68","560","324","27.2","5,95","",""
"385","W215500069360001","Porbandar","PORBANDAR","Adwana1","Dug Well","8.08","1529","1024","0","634","177","45","15","0.78","520","96","72","540","132","7.2","2.47","",""
"386","W212215069523001","Porbandar","PORBANDAR","Balej","Dug Well","7.78","3469","2324","0","305","852","60","145","0.15","250","192","54","700","445","23.4","7.31","3",""
"387","W214835069243001","Porbandar","PORBANDAR","Bhavpura","Dug Well","7.81","5652","3787","0","159","1666","42","144","0.46","130","480","156","1850","389","10.0","3.93","",""
"388","W214830069360501","Porbandar","PORBANDAR","Khambodar","Dug Well","8.34","902","604","132","122","113","7","19","0.70","320","44","26","220","133","4.4","3.90","",""
"389","W214100069330001","Porbandar","PORBANDAR","Kuchhadi","Dug Well","8.12","4822","3231","0","268","1276","31","192","0.75","220","180","108","900","582","102.0","8.43","1",""
"390","W215000069232001","Porbandar","PORBANDAR","Miyani","Dug Well","8.36","3262","2186","48","122","886","48","144","0.18","180","320","60","1050","269","62.0","3.61","3",""
"391","W212645069473001","Porbandar","PORBANDAR","Navibandar","Dug Well","8.03","431","289","0","122","64","13","18","0.05","100","28","7","100","40","27.9","1.74","6",""
"392","W213400069405001","Porbandar","PORBANDAR","Oddar","Dug Well","8.13","4510","3022","0","244","1420","19","52","1.00","200","88","117","700","711","25.9","11.68","1",""
"393","W214530069291501","Porbandar","PORBANDAR","Palkhada","Dug Well","7.84","3507","2350","0","207","922","175","39","0.35","170","320","60","1050","285","40.2","3.82","",""
"394","W211750069563001","Porbandar","PORBANDAR","Pata","Dug Well","8.28","3048","2042","0","500","639","32","130","0.00","410","144","24","460","471","17.0","9.55","1",""
"395","W213830069373001","Porbandar","PORBANDAR","Porbandar1","Dug Well","8.00","1073","719","0","244","213","12","25","0.20","200","48","17","190","152","18.5","4.79","2",""
"396","W214735069474501","Porbandar","RANAVAV","Hanumangadh","Dug Well","8.12","1815","1216","0","390","341","8","63","0,50","320","92","36","380","230","23.2","5,13","1",""
"397","W214100069444501","Porbandar","RANAVAV","Ranavav","Dug Well","7.83","952","638","0","268","156","35","17","0.45","220","60","22","240","115","1.9","3.23","",""
"398","W214231069423901","Porbandar","RANAVAV","Adityana","Dug Well","7.97","713","478","0","246","78","32","14","0,65","202","48","22","210","67","1.9","2.01","1",""
"399","W214612069351701","Porbandar","PORBANDAR","Babda","Dug Well","8.31","2543","1704","24","281","567","11","142","0,64","270","120","84","650","271","2.4","4.62","",""
"400","W214553069394001","Porbandar","PORBANDAR","Bakharla","Dug Well","8,31","2088","1399","42","232","397","108","39","0.70","260","120","46","490","215","9,5","4.22","1",""
"401","W213932069491601","Porbandar","RANAVAV","Bhod","Dug Well","7.96","704","472","0","244","85","19","16","0.45","200","64","15","220","62","1.8","1.82","",""
"402","W214237069362001","Porbandar","PORBANDAR","Degam","Dug Well","8.20","3834","2569","0","500","922","11","87","1.60","410","140","96","750","497","15.9","7.89","1",""
"403","W213852069530001","Porbandar","RANAVAV","Kandorna","Dug Well","7.51","2236","1498","0","171","540","37","137","0.40","140","128","49","520","260","5.2","4.96","",""
"404","W214159069365101","Porbandar","PORBANDAR","Kolikhada","Dug Well","8.49","1880","1260","72","610","227","60","44","1.10","620","24","22","150","410","1.2","14.55","1",""
"405","W212054069532101","Porbandar","KUTIYANA","Mocha","Dug Well","8,28","1271","852","0","183","284","8","43","0,00","150","40","58","340","123","8.8","2.90","2",""
"406","W215309069360101","Porbandar","PORBANDAR","Mojiwana","Dug Well","8.03","6694","4485","0","98","1985","42","385","0.37","80","360","300","2150","553","1.8","5.19","",""
"407","W214313069304301","Porbandar","PORBANDAR","Ratadi","Dug Well","8.26","3743","2508","0","378","993","50","36","0,86","310","220","96","950","395","12,5","5,57","1",""
"408","","Porbandar","PORBANDAR","Ratanpur","Dug Well","7.94","6868","4602","0","305","1846","11","404","0,36","250","200","207","1350","905","33.9","10.71","2",""
"409","W212617069482201","Porbandar","PORBANDAR","Ratia","Dug Well","7.77","2076","1391","0","354","454","58","250","0.30","290","104","48","460","296","120.0","6,00","2",""
"410","W215649069410901","Porbandar","PORBANDAR","Simar","Dug Well","8.20","1726","1156","0","159","454","34","10","0,38","130","124","10","350","215","1.1","5.00","2",""
"411","W213058069434301","Porbandar","PORBANDAR","Tukda","Dug Well","8,06","524","351","0","244","64","1","11","0.10","200","32","12","130","80","4.4","3.05","2",""
"412","W214708069264701","Porbandar","PORBANDAR","Visavada","Dug Well","7,97","4306","2885","0","171","1311","29","55","1.20","140","280","120","1200","379","76,0","4.76","2",""
"413","W213945070203001","Rajkot","DHORAJI","Bhada jodiya","Dug Well","8.24","1434","961","0","512","121","50","109","1,05","420","40","27","210","248","4.7","7,44","4",""
"414","W214330070270001","Rajkot","DHORAJI","Dhoraji1","Dug Well","7.73","2765","1853","0","73","738","105","182","0.30","60","296","19","820","262","1.0","3.98","2",""
"415","W213840070154001","Rajkot","DHORAJI","Patanvav","Dug Well","8.15","768","515","0","354","57","12","6","0.50","290","80","12","250","64","16.7","1.76","2",""
"416","W215500070445501","Rajkot","GONDAL","Chordi","Dug Well","7.59","4784","3205","0","122","1377","58","226","0,25","100","424","136","1620","336","6.9","3,63","3",""
"417","W220530070440001","Rajkot","GONDAL","Dadia","Dug Well","7.81","2409","1614","0","134","596","34","228","0,38","110","224","97","960","123","1.0","1.73","3",""
"418","W215841070372301","Rajkot","Gondal","Hadmadiya","Dug Well","8.19","1892","1268","0","220","334","140","142","0,29","180","116","75","600","147","1.2","2,61","3",""
"419","W220110070393701","Rajkot","Gondal","Kolithad1","Dug Well","8.00","793","531","0","220","71","70","29","0,38","180","60","24","250","55","0.1","1.51","3",""
"420","W215945070594501","Rajkot","GONDAL","Mota dadwa","Dug Well","8.01","1584","1061","0","207","320","120","37","0,38","170","156","43","570","89","0.8","1.62","4",""
"421","W220730070460001","Rajkot","GONDAL","Ribda","Dug Well","8.08","914","612","0","427","78","9","25","0,35","350","56","39","300","90","0,4","2.26","3",""
"422","W215330070290001","Rajkot","JAMKANDORNA","Jasapur","Dug Well","8.26","1228","823","0","244","170","125","114","0,38","200","88","55","450","98","0,5","2.01","2",""
"423","W220330071131501","Rajkot","JASDAN","Jasdan2","Dug Well","7.31","1600","1072","0","231","284","120","53","0.39","189","108","49","470","128","0,5","2,57","2",""
"424","W220845071120001","Rajkot","JASDAN","Kamlapur","Dug Well","7.36","3484","2334","0","146","979","150","41","0,38","120","368","68","1200","222","1.2","2.79","4",""
"425","W220800071181501","Rajkot","JASDAN","Lalavadar","Dug Well","7.80","867","581","0","329","57","65","16","0,50","270","64","34","300","56","0,7","1.41","3",""
"426","W220130071073001","Rajkot","JASDAN","Viranagar","Dug Well","7,97","2827","1894","0","537","540","85","138","1.00","440","160","83","740","316","0,4","5,05","2",""
"427","W214630070380001","Rajkot","JETPUR","Jetpur pithad.","Dug Well","7.28","3823","2561","0","231","902","70","372","0,28","189","376","147","1560","167","0.4","1.84","3",""
"428","W214405070300501","Rajkot","JETPUR","Motagundala","Dug Well","8.09","1004","673","0","244","170","3","313","0.75","200","60","19","230","106","0.1","3.04","3",""
"429","W214505070353001","Rajkot","JETPUR","Pedhla","Dug Well","7.57","5450","3652","0","390","1463","66","238","0.11","320","496","112","1700","465","4.6","4.90","3",""
"430","W230530070454501","Rajkot","MALIYA","Malia","Dug Well","7.98","905","606","0","329","99","26","0","0.50","270","48","24","220","98","9.9","2.87","5",""
"431","W225730070370001","Rajkot","MALIYA","Mota dhansura","Dug Well","8.05","1226","821","0","268","213","6","100","0,55","220","68","39","380","117","6.6","2.61","3",""
"432","W225830070420001","Rajkot","MALIYA","Sarvad","Dug Well","8.28","1735","1162","0","586","185","6","93","1.42","480","32","10","120","336","12.3","13.34","2",""
"433","W225600070483001","Rajkot","MORVI","Amar nagar","Dug Well","8.05","8753","5865","0","305","2911","19","74","2.90","250","260","425","2400","970","3.6","8,61","3",""
"434","W230005070534501","Rajkot","MORVI","Macchukunda","Dug Well","8.02","988","662","0","366","128","4","20","1.35","300","56","34","280","106","7.1","2.75","2",""
"435","W224900070503001","Rajkot","MORVI","Morvi","Dug Well","8.22","1931","1294","0","354","398","31","24","1.45","290","56","63","400","236","3.1","5.13","2",""
"436","W225130070570001","Rajkot","MORVI","Nichi mandal","Dug Well","8.02","3438","2303","0","573","667","30","238","1.26","470","80","24","300","643","17.5","16.14","4",""
"437","W222700070363001","Rajkot","PADDHARI","Movaiya","Dug Well","7.53","3783","2535","0","85","951","105","312","0.65","70","304","19","840","460","3,8","6.90","4",""
"438","W220530071030001","Rajkot","RAJKOT","Halenda","Dug Well","8.26","1636","1096","0","390","256","85","153","0,55","320","44","114","580","154","3.0","2.78","3",""
"439","W221800070480001","Rajkot","RAJKOT","Rajkot1","Dug Well","8.04","1513","1014","0","634","163","24","15","0.29","520","112","39","440","160","10.0","3.32","14",""
"440","W222200070554501","Rajkot","RAJKOT","Ranpur1","Dug Well","8.20","1138","762","0","268","178","22","16","0.40","220","72","34","320","87","0.4","2.11","4",""
"441","W220830070590001","Rajkot","RAJKOT","Sardhar2","Dug Well","8.15","2132","1428","0","732","327","10","7","0.20","600","80","53","420","305","75.7","6.47","2",""
"442","W223015070451501","Rajkot","TANKARA","Chhatar","Dug Well","8.09","1541","1032","0","220","341","64","149","0.80","180","100","66","520","164","0.4","3.13","3",""
"443","W214030070104501","Rajkot","UPLETA","Ganod","Dug Well","8.15","6676","4473","0","293","1704","75","574","2.34","240","200","146","1100","1030","1.6","13.50","4",""
"444","W214455070163001","Rajkot","UPLETA","Upleta1","Dug Well","8.26","2430","1628","0","744","341","70","64","2.70","610","32","19","160","491","0.5","16.88","5",""
"445","W222630071050001","Rajkot","WANKANER","Bhalgam","Dug Well","8.28","1510","1012","0","293","270","11","153","0.95","240","68","66","440","164","3.2","3.40","4",""
"446","W223300070533001","Rajkot","WANKANER","Sindhavadar","Dug Well","8.03","1500","1005","0","366","284","40","16","1.20","300","48","39","280","220","0.3","5.72","5",""
"447","W230730073123001","Sabarkantha","BAYAD","Boral","Dug Well","8.05","2991","2004","0","476","625","135","98","0.74","390","56","136","700","366","2.3","6.01","",""
"448","W231030073201501","Sabarkantha","BAYAD","Sathamba","Dug Well","8.04","949","636","0","270","178","41","15","0.70","221","52","46","320","95","2.7","2.31","4",""
"449","W234600073162001","Sabarkantha","BHILODA","Bhiloda2","DCB","7.83","1247","835","0","342","213","18","18","0.63","280","52","58","370","115","3.2","2.60","",""
"450","W234010073102501","Sabarkantha","BHILODA","Punasan","Dug Well","7.92","697","467","0","207","92","35","7","0.32","170","56","19","220","54","0.8","1,58","",""
"451","W234110073220001","Sabarkantha","BHILODA","Shamlaji","Dug Well","8.11","940","630","0","281","156","19","19","0,52","230","44","32","240","115","1.2","3.23","1",""
"452","W235050073183001","Sabarkantha","BHILODA","Takatuka","Dug Well","8.14","2757","1847","0","293","653","45","154","0,52","240","80","92","580","364","2.8","6.57","",""
"453","W232100073120002","Sabarkantha","DHANSURA","Dhansura1","Dug Well","8.22","1253","840","0","268","220","55","47","0,85","220","60","75","460","78","0.8","1.58","",""
"454","W232000073180001","Sabarkantha","DHANSURA","Karanpur","Dug Well","8.26","715","479","0","305","71","25","5","1.00","250","44","24","210","78","0,9","2.34","",""
"455","W234230072563001","Sabarkantha","HIMATNAGAR","Gadha1","Dug Well","8.03","2980","1997","0","342","625","130","201","1.35","280","72","44","360","520","2.0","11.92","",""
"456","W233230073060001","Sabarkantha","HIMATNAGAR","Varvada","Dug Well","8.08","1603","1074","0","256","305","130","33","0.75","210","60","44","330","210","3.5","5,03","",""
"457","W233915072573001","Sabarkantha","HIMATNAGAR","Virpur2","Dug Well","8.07","524","351","0","195","64","34","9","0,53","160","56","15","200","41","0.7","1.26","",""
"458","W234445072584501","Sabarkantha","IDAR","Bhadreshwar1","Dug Well","7.40","2246","1505","0","830","241","94","7","1.40","680","104","68","540","263","9.2","4.92","1",""
"459","W235030073021501","Sabarkantha","IDAR","Idar","Dug Well","8.28","1080","724","0","293","107","125","38","2.60","240","56","36","290","115","1.7","2.94","",""
"460","W234915073070001","Sabarkantha","IDAR","Revas","Dug Well","7.80","1431","959","0","195","320","38","52","0.85","160","116","58","530","80","1.3","1.51","",""
"461","W240145073030001","Sabarkantha","KHEDBRAHMA","Khedbramha","Dug Well","7.59","3425","2295","0","134","866","165","219","0.95","110","312","73","1080","290","2.3","3.84","",""
"462","W240640073003001","Sabarkantha","KHEDBRAHMA","Matoda","Dug Well","8.07","2535","1698","0","403","497","120","38","0.10","330","200","54","720","210","29.7","3.40","",""
"463","W242230073020001","Sabarkantha","KHEDBRAHMA","Poshina2","Dug Well","8.15","1806","1210","0","610","256","45","11","1.00","500","80","66","470","205","9.7","4.11","",""
"464","W241230072595501","Sabarkantha","KHEDBRAHMA","Ratanpur2","Dug Well","8.03","1619","1085","0","244","305","65","93","0.65","200","84","54","430","164","12.6","3.44","",""
"465","W240030073070001","Sabarkantha","KHEDBRAHMA","Silwad","Dug Well","7.70","4826","3233","0","317","1250","100","229","0.86","260","160","185","1160","555","13.7","7.08","",""
"466","W232945073303001","Sabarkantha","MEGHRAJ","Meghraj","Dug Well","7,98","555","372","0","256","64","0","11","0.35","210","28","24","170","66","3.5","2.20","",""
"467","W232745073183001","Sabarkantha","MODASA","Modasa2","Dug Well","8.28","1061","711","0","159","156","125","67","0,20","130","80","29","320","94","0.7","2.28","",""
"468","W240030073070001","Sabarkantha","KHEDBRAHMA","Silwad","Dug Well","7.82","1517","1016","0","195","298","125","50","0.40","160","104","58","500","110","5.4","2.14","4",""
"469","W232240073010001","Sabarkantha","TALOD","Harsol1","Dug Well","8.18","1285","861","0","573","92","65","28","1.30","470","20","56","280","187","1.0","4.86","",""
"470","W235400073071001","Sabarkantha","VADALI","Choriwad","Dug Well","8.04","1913","1282","0","305","327","190","53","0.95","250","188","63","730","91","2.7","1.46","",""
"471","W235600073020001","Sabarkantha","VADALI","Wadali","Dug Well","7.73","1474","988","0","220","220","140","116","0.90","180","88","44","400","152","4.5","3.30","",""
"472","W235910073123001","Sabarkantha","VIJAYNAGAR","Atarsumba","Dug Well","7.95","838","561","0","220","128","52","15","0,00","180","52","39","290","60","2.9","1.53","",""
"473","W240030073211501","Sabarkantha","VIJAYNAGAR","Vijaynagar1","Dug Well","8.26","1059","710","0","268","213","8","16","0,55","220","40","34","240","142","4.8","3.99","",""
"474","W231629073123001","Sabarkantha","Dhansura","Alwa Kampa","Dug Well","8.10","1171","785","0","415","142","54","7","0.02","340","32","75","390","94","1.5","2.07","1",""
"475","W231434072562701","Sabarkantha","Talod","Boriya","Dug Well","7.92","2550","1709","0","256","568","65","173","0,75","210","96","78","560","320","0.8","5.88","2",""
"476","W235524072511201","Sabarkantha","IDAR","Chandap_DW","Dug Well","8.26","911","610","0","317","107","42","4","1.15","260","76","22","280","80","6.8","2.08","2",""
"477","W233431073151101","Sabarkantha","MODASA","Gadada","Dug Well","8.02","1764","1182","0","342","305","140","53","1.17","280","68","97","570","146","3.1","2,66","",""
"478","W235455073084301","Sabarkantha","Vadoli","Kesharpura","Dug Well","7.88","1217","815","0","195","199","115","59","0,95","160","88","46","410","88","1.6","1.89","",""
"479","W232041073275201","Sabarkantha","MALPUR","Malpur_1","Dug Well","8.01","824","552","0","244","57","80","61","1,05","200","48","41","290","56","1.6","1.43","1",""
"480","W233609073091601","Sabarkantha","HIMATNAGAR","Mathasuliya","Dug Well","8.28","1253","840","0","366","142","130","18","0.20","300","64","41","330","120","30.5","2.87","",""
"481","W233043073162801","Sabarkantha","MODASA","Medasana","Dug Well","8.22","897","601","0","281","114","46","16","0.75","230","32","32","210","110","0,7","3.30","",""
"482","W233619072550901","Sabarkantha","HIMATNAGAR","Ramgarh","Dug Well","8.25","3571","2393","0","549","852","10","78","1.05","450","96","92","620","524","23.6","9,15","2",""
"483","W235227072574701","Sabarkantha","IDAR","Sabalwad","Dug Well","7.96","992","665","0","305","85","41","71","2.56","250","92","27","340","67","1.8","1.58","",""
"484","W231813072575201","Sabarkantha","Talod","Umedpura","Dug Well","8.28","1529","1024","0","476","234","70","30","1.32","390","32","71","370","205","0,5","4.63","",""
"485","W210345073113001","Surat","BARDOLI","Allu","Dug Well","8.02","753","505","0","366","50","6","27","1.05","300","20","41","220","86","1.2","2.52","1",""
"486","W210530072433001","Surat","CHORASI","Sultanabad","Dug Well","7.85","1140","764","0","439","135","32","54","0.35","360","44","61","360","127","22.0","2.91","3",""
"487","W211730072554501","Surat","KAMREJ","Kathor","Dug Well","7.97","1448","970","0","659","149","23","55","0,60","540","52","85","480","161","1.9","3.20","2",""
"488","W211700073140001","Surat","MANDVI","Kasal","Dug Well","7.88","747","500","0","329","57","17","26","0,35","270","60","63","280","52","0.1","1.35","2",""
"489","W211515073174501","Surat","MANDVI","Mandvi2","Dug Well","8.11","1180","791","0","366","128","130","67","0,50","300","88","56","450","96","0.5","1,97","3",""
"490","W211900073080001","Surat","MANDVI","Nogama","Dug Well","7.94","1032","691","0","354","85","70","14","0,55","290","96","29","360","57","0.3","1.31","2",""
"491","W211850073093001","Surat","MANDVI","Ushker","Dug Well","7.77","750","503","0","354","50","29","30","0,45","290","72","17","250","77","2.0","2.12","3",""
"492","W212600073130005","Surat","MANGROL","Nizar1","Dug Well","7.88","1052","705","0","293","128","105","57","0,90","240","52","54","350","101","0.7","2,35","2",""
"493","W212030072453001","Surat","OLPAD","Olpad2","Dug Well","8.05","1710","1146","0","622","185","34","113","1.25","510","32","39","240","314","62.1","8.81","2",""
"494","W212530072494501","Surat","OLPAD","Wadoli","Dug Well","7.76","2397","1606","0","342","639","0","159","0.90","280","120","134","850","235","1.7","3.50","2",""
"495","W210440072593001","Surat","PALSANA","Palsana","Dug Well","7.92","1026","687","0","439","135","9","68","0.30","360","96","49","440","88","3.4","1.82","4",""
"496","W211330073344501","Surat","SONGADH","Bhurvel (ukai)","Dug Well","7.95","707","474","0","244","78","15","4","0.40","200","56","32","270","27","1.3","0.71","",""
"497","W211015073331501","Surat","SONGADH","Jesingpura[sg]","Dug Well","8.11","865","580","0","451","21","3","39","0.70","370","44","36","260","85","0,6","2.29","2",""
"498","W211200072500005","Surat","SURAT CITY","Uchchhal1","Dug Well","7.94","928","622","0","403","57","75","1","0.35","330","88","44","400","34","0.6","0.74","3",""
"499","W212740073293001","Surat","UMARPADA","Chavada","Dug Well","8,05","463","310","0","220","28","12","14","0.35","180","40","19","180","30","0,0","0.97","2",""
"500","W210300073160001","Surat","VALOD","Valod","Dug Well","7.78","421","282","0","244","28","3","14","0.40","200","44","29","230","13","0.2","0.37","3",""
"501","W210000073283001","Surat","VYARA","Karanjvel","Dug Well","7.95","460","308","0","232","28","4","13","0.20","190","44","34","180","31","1.8","1,00","2",""
"502","W210630073234501","Surat","VYARA","Vyara","Dug Well","7.95","312","209","0","146","28","2","28","0,35","120","28","12","120","33","2.5","1.31","2",""
"503","W212249073001501","Surat","Mangrol","Bhatkol","Dug Well","8,05","914","612","0","403","107","1","36","0.75","330","20","36","200","149","1.3","4.58","1",""
"504","W210905073233701","Surat","VYARA","Chapawadi","Dug Well","8.02","517","346","0","244","43","9","17","0.20","200","48","24","220","31","0.4","0,91","1",""
"505","W212430073080002","Surat","MANGROL","Dungri","Dug Well","7.98","1190","797","0","598","43","29","50","0.20","490","12","44","210","192","1.8","5.76","2",""
"506","W210231073192401","Surat","Valod","Kelkui","Dug Well","7.86","392","263","0","195","57","2","4","0,35","160","48","12","170","36","0.1","1.20","2",""
"507","W211652073275501","Surat","Songarh","Kherwada","Dug Well","7.79","621","416","0","354","50","15","3","0,40","290","72","29","300","36","0.2","0.90","2",""
"508","W211013073040701","Surat","Bardoli","Mota","Dug Well","8.15","2614","1751","0","287","604","26","129","1.05","235","100","85","600","302","3.6","5.36","2",""
"509","W211645073205901","Surat","Mandavi","Moti Sarkui","Dug Well","7.95","625","419","0","305","43","31","14","0,55","250","60","7","270","38","0,3","1.01","2",""
"510","W211245073214401","Surat","VYARA","Moti Chher","Dug Well","7.90","553","371","0","220","21","80","17","0,45","180","64","22","250","20","1.2","0,55","2",""
"511","W212715073115401","Surat","MANGROL","Paneshwar","Dug Well","8,05","1767","1184","0","207","391","32","118","0,35","170","156","63","650","105","0.2","1.79","3",""
"512","W205014073171601","Surat","Mahuva","Vaheval","Dug Well","7.88","605","405","0","281","36","19","12","0.40","230","68","19","250","28","0,1","0,77","4",""
"513","W223445071115901","Surendranagar","Chotila","Than","Dug Well","8,06","1768","1185","0","268","369","52","63","0.75","220","124","29","430","196","1.2","4.11","4",""
"514","W222600071551501","Surendranagar","CHUDA","Vanala","Dug Well","8.28","1192","799","0","268","192","8","100","0.20","220","60","29","270","154","6.4","4.07","5",""
"515","W230700071470001","Surendranagar","DASADA","Bajana","Dug Well","7,69","1086","728","0","232","135","3","129","0,56","190","64","34","250","125","6.0","3,44","7",""
"516","W232307071404601","Surendranagar","Dasada","Dhama","Dug Well","8.26","2575","1725","0","524","433","10","180","1.60","430","64","63","420","299","147.0","6.34","16",""
"517","W232100071393001","Surendranagar","DASADA","Jhinjhuwada","Dug Well","8.18","860","576","0","366","85","3","23","0,90","300","40","29","220","106","12,9","3.11","4",""
"518","W231115071450001","Surendranagar","DASADA","Kharaghoda","Dug Well","6,67","54000","36180","0","159","24318","55","2205","0,68","130","1360","3927","","8125","46,0","25.27","6",""
