"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"1","Ahmedabad","Barvala","7.69","4781","3203","0","1342","780","17","270","3.25","1100","40","48","300","1020","0.4","","25.60"
"2","Ahmedabad","Dhandhuka1","7.56","790","529","0","354","43","12","36","2.20","290","24","10","100","140","17.2","","6.09"
"3","Ahmedabad","Gamph","7.90","2550","1709","0","781","461","16","10","0.25","640","28","72","370","416","37.0","","9.40"
"4","Ahmedabad","Tagadi1","7.80","1492","1000","0","439","191","17","15","1.75","360","32","31","210","210","5.2","","6.30"
"5","Ahmedabad","Dalod","7.73","14520","9728","0","1232","4361","45","439","3.10","1010","180","216","1350","2940","33.0","0.40","34.79"
"6","Ahmedabad","Mandal2","8.06","3581","2399","0","573","922","10","18","0.54","470","140","96","750","490","6.9","0.10","7.78"
"7","Ahmedabad","Kundali","7.42","875","586","0","378","85","24","5","0.45","310","36","36","240","100","0.4","","2.81"
"8","Ahmedabad","Rajpada","8.20","2884","1932","0","537","567","250","91","0.43","440","200","168","1200","160","4.5","","2.01"
"9","Ahmedabad","Endla","7.92","698","468","0","317","35","2","37","0.50","260","28","38","230","56","9.5","","1.61"
"10","Ahmedabad","Kumarkhan","8.10","9840","6593","0","1000","2730","46","628","2.40","820","120","216","1200","1940","25.0","","24.35"
"11","Ahmedabad","Viramgam2","7.59","5050","3384","0","512","1383","4","198","0.80","420","120","84","650","900","9.5","","15.35"
"12","Amreli","Govadka","7.90","1872","1254","0","268","419","26","81","0.15","220","68","80","500","195","11.6","","3.79"
"13","Amreli","Vankiya","8.20","1150","771","0","415","92","145","2","0.20","340","68","56","400","88","0.3","","1.91"
"14","Amreli","Untvad","8.00","995","667","0","305","71","170","2","0.26","250","92","34","370","56","0.2","","1.27"
"15","Amreli","Bagasara","7.90","2960","1983","0","439","639","200","72","0.45","360","120","161","960","253","0.0","","3.55"
"16","Amreli","Vaghania juna","8.20","1324","887","0","598","114","18","31","0.90","490","28","27","180","240","6.7","0.00","7.78"
"17","Amreli","Chalala","8.20","620","415","0","268","71","3","12","0.10","220","52","24","230","49","2.3","","1.40"
"18","Amreli","Dharangani","7.80","1790","1199","0","329","362","110","41","0.20","270","80","71","490","197","0.3","","3.87"
"19","Amreli","Kerala","8.20","1850","1240","0","622","249","36","54","0.35","510","44","22","200","346","2.8","","10.64"
"20","Amreli","Morjhar","8.20","938","628","0","220","156","10","54","0.10","180","52","27","240","105","0.7","","2.95"
"21","Amreli","Bherai","8.00","3483","2334","0","891","724","6","63","0.60","730","48","92","500","615","20.6","0.00","11.96"
"22","Amreli","Jafrabad","7.50","2854","1912","0","671","582","29","80","0.85","550","80","58","440","437","101.0","0.00","9.06"
"23","Amreli","Nageshri","7.90","920","616","0","305","121","23","77","0.30","250","48","54","340","84","3.9","0.00","1.98"
"24","Amreli","Bhavardi1","8.20","981","657","0","366","92","52","32","0.25","300","60","46","340","77","2.9","0.00","1.82"
"25","Amreli","Ingorala","8.10","700","469","0","354","36","35","7","0.25","290","56","34","280","45","0.2","","1.17"
"26","Amreli","Khamba","8.20","917","614","0","451","50","35","28","0.19","370","52","44","310","87","0.2","","2.15"
"27","Amreli","Trakuda","7.00","1390","931","0","439","170","135","35","0.10","360","124","63","570","82","1.9","","1.49"
"28","Amreli","Badhda","8.00","1446","969","0","317","192","155","71","0.10","260","76","80","520","98","0.4","","1,87"
"29","Amreli","Bhuva","7.70","12150","8141","0","1013","3408","300","408","0.75","830","320","109","1250","2354","146.0","","28.95"
"30","Amreli","Charkhadia1","8.00","2432","1629","0","1110","163","38","59","1.45","910","20","12","100","524","8.1","","22.78"
"31","Amreli","Goradka","7.70","2216","1485","0","268","341","330","124","0.08","220","188","105","900","93","0.5","","1.35"
"32","Amreli","Piyava","8.20","1411","945","0","610","121","39","45","0.40","500","24","34","200","254","0.3","0.00","7.81"
"33","Amreli","Kunkavav","8.00","2004","1343","0","244","426","110","98","0.35","200","108","73","570","198","0.7","","3.61"
"34","Amreli","Chavand","8.20","580","389","0","342","36","5","26","0.35","280","48","24","220","66","0.3","","1.93"
"35","Amreli","Lathi","7.90","1398","937","0","451","213","17","19","0.50","370","52","41","300","188","0.0","","4.72"
"36","Amreli","Luvariya","8.20","1307","876","0","683","92","20","57","2.20","560","24","7","90","314","0.0","0.55","14.39"
"37","Amreli","Tajpur","7.90","2005","1343","0","305","277","260","146","0.48","250","156","51","600","188","1.1","0.63","3.34"
"38","Amreli","Punjapadar","8.20","787","527","0","366","57","8","27","1.70","300","12","2","40","175","2.7","0.76","12.03"
"39","Amreli","Mandal","7.90","2210","1481","0","329","312","190","266","0.60","270","96","78","560","270","4.3","","4.96"
"40","Amreli","Victor","8.20","1703","1141","0","598","234","3","53","1.90","490","16","15","100","362","12.9","","15.74"
"41","Amreli","Charnara","7.70","3936","2637","0","866","880","6","172","1.50","710","40","29","220","890","11.9","0.00","26.09"
"42","Amreli","Fifad","7.80","6862","4598","0","1145","1576","32","245","0.55","939","88","146","820","1220","18.2","0.17","18.52"
"43","Amreli","Hipa vadali","8.10","2592","1737","0","1391","57","68","85","1.30","1140","20","22","140","565","0.2","0.00","20.76"
"44","Amreli","Kadiyali","7.40","3773","2528","0","634","895","14","41","2.05","520","176","49","640","560","11.9","0.00","9.62"
"45","Amreli","Tajpur","7.60","2200","1474","0","634","341","95","50","1.40","520","32","5","100","478","0.6","","20.78"
"46","Anand","Anand","7.60","1253","840","0","598","99","18","17","0.30","490","28","70","360","140","2.5","","3.21"
"47","Anand","Anklav2","8.12","1100","737","0","512","78","36","14","0.90","420","28","53","290","132","1.8","","3,37"
"48","Anand","Navapura","8.06","1400","938","0","622","106","40","14","0.48","510","68","72","470","110","5.5","","2.21"
"49","Anand","Ras","7.50","1743","1168","0","842","227","20","5","2.00","690","32","19","160","400","5.7","","13.75"
"50","Anand","Kansari1","8.10","4278","2866","0","586","993","24","242","0.60","480","100","96","650","700","4.0","","11.94"
"51","Anand","Laxmipura","8.00","3367","2256","0","793","709","30","62","1.10","650","100","48","450","600","2.1","","12.30"
"52","Anand","Ghora","7.92","1780","1193","0","537","241","115","18","0.67","440","84","41","380","238","13.0","","5.31"
"53","Anand","Adas","8.10","970","650","0","427","78","39","9","0.43","350","48","82","460","20","2.4","","0.41"
"54","Anand","Dharmaj","7.76","2450","1642","0","964","276","48","32","0.22","790","32","50","290","445","1.0","","11.36"
"55","Anand","Tol","7.60","877","588","0","439","50","5","16","0.30","360","68","22","260","86","7.2","","2.32"
"56","Anand","Utiyapara","7.70","680","456","0","390","42","2","6","0.15","320","88","29","340","22","1.1","","0.52"
"57","Banaskantha","Amirgadh","7.90","3942","2641","0","515","993","100","187","0.60","422","200","216","1400","330","3.7","0.05","3.83"
"58","Banaskantha","Iqbalgarh","8.20","680","456","0","281","64","25","20","0.25","230","52","38","290","34","0.9","","0.87"
"59","Banaskantha","Kidotar","7.98","1661","1113","0","695","149","36","52","1.00","570","88","70","510","165","9.0","0.00","3.18"
"60","Banaskantha","Ganapipli","8.20","838","561","0","329","85","36","14","2.60","270","52","34","270","79","1.2","","2.09"
"61","Banaskantha","Mohabbat gadh","7.80","1500","1005","0","244","347","75","15","1.15","200","176","31","570","94","3.2","0.05","1.71"
"62","Banaskantha","Ratanpur2","8.00","960","643","0","220","142","85","37","0.50","180","120","12","350","65","2.6","0.04","1.51"
"63","Banaskantha","Gangodra","7.81","1990","1333","0","366","367","40","154","1.00","300","104","58","500","239","5.2","0.00","4.65"
"64","Banaskantha","Jorapura","7.90","1277","856","0","268","220","38","108","0.70","220","120","46","490","87","1.7","","1.71"
"65","Banaskantha","Sodapur","7.69","1160","777","0","366","156","19","75","1.35","300","52","22","220","184","2.3","0.00","5.39"
"66","Banaskantha","Meda","8.08","960","643","0","281","106","60","88","0.17","230","92","34","370","70","2.9","","1.58"
"67","Banaskantha","Palanpur2","8.26","1308","876","0","464","170","75","37","0.67","380","28","27","180","250","0.8","0.00","8.10"
"68","Banaskantha","Bharol1","8.10","517","346","0","207","35","6","30","0.10","170","44","22","200","12","42.0","0.00","0.37"
"69","Banaskantha","Khoda","8.00","3287","2202","0","634","674","90","112","4.20","520","140","60","600","498","26.6","","8.84"
"70","Banaskantha","Dantiwada 1","7.96","624","418","0","244","57","34","26","0.50","200","84","14","270","31","1.0","","0.82"
"71","Bharuch","Roja tankaria","7.70","1488","997","0","439","227","1","24","0.03","360","76","34","330","175","35.0","0.22","4.19"
"72","Bharuch","Juna borbhata","8.24","1460","978","0","476","213","13","73","0.14","390","48","77","440","157","45.0","","3.25"
"73","Bharuch","Motwan","8.10","1670","1119","0","476","298","5","56","0.48","390","48","50","330","253","8.2","","6.06"
"74","Bharuch","Mulad","8.06","2357","1579","0","598","418","18","118","0.38","490","44","70","400","380","1.2","","8.26"
"75","Bharuch","Panoli","7.80","5000","3350","0","622","1347","55","107","1.03","510","116","214","1180","650","3.0","","8.23"
