District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Kachchh,BHUJ,Sukhpar,7.81,8365.0,5605.0,2800.0,420.0,29.0,860.0,6.5,0.0,256.0,2128.0,100.0,1282.0,1.35,210.0,2.412
Kachchh,ABDASA,Suthri,8.1,869.0,582.0,180.0,44.0,17.0,128.0,5.5,0.0,329.0,114.0,6.0,17.0,1.05,270.0,0.235
Kachchh,ABDASA,Tera,8.23,4271.0,2862.0,600.0,80.0,98.0,728.0,5.6,0.0,1171.0,710.0,47.0,145.0,7.25,960.0,2.157
Kachchh,NAKHATRANA,Ugardi,8.21,8727.0,5847.0,1600.0,280.0,219.0,1410.0,16.8,0.0,146.0,2376.0,18.0,1088.0,1.2,120.0,0.228
Kachchh,MUNDRA,Vadala,7.19,5041.0,3377.0,1100.0,200.0,146.0,620.0,22.8,0.0,769.0,1104.0,100.0,151.0,1.05,630.0,1.476
Kachchh,ABDASA,Vinjhan1,8.15,612.0,410.0,220.0,36.0,32.0,58.0,8.6,0.0,293.0,57.0,1.0,20.0,1.15,240.0,0.173
Kheda,MAHUDHA,Alina,7.87,2817.0,1887.0,750.0,160.0,84.0,338.0,7.5,0.0,512.0,567.0,140.0,134.0,1.0,420.0,0.177
Kheda,NADIAD,Alindra,8.29,843.0,565.0,300.0,48.0,43.0,63.0,0.8,0.0,439.0,35.0,8.0,17.0,0.96,360.0,0.043
Kheda,BALASINOR,Balasinor1,7.86,678.0,454.0,280.0,72.0,24.0,52.0,0.6,0.0,207.0,106.0,32.0,43.0,0.7,170.0,0.305
Kheda,VIRPUR,Bar,8.24,3540.0,2372.0,1250.0,240.0,156.0,180.0,190.0,0.0,1257.0,496.0,42.0,80.0,1.0,1030.0,0.258
Kheda,NADIAD,Boriyavi,8.03,1345.0,901.0,350.0,96.0,26.0,174.0,25.0,0.0,622.0,135.0,12.0,15.0,0.06,510.0,0.026
Kheda,THASRA,Dakor,8.09,2173.0,1456.0,410.0,76.0,53.0,329.0,14.8,0.0,1000.0,191.0,19.0,14.0,1.2,820.0,0.044
Kheda,BALASINOR,Juna vasadra,7.94,1355.0,908.0,590.0,148.0,53.0,54.0,2.5,0.0,549.0,149.0,46.0,5.0,0.67,450.0,0.138
Kheda,THASRA,Kalesar,8.73,1390.0,931.0,325.0,36.0,55.0,189.0,0.8,0.0,720.0,71.0,13.0,29.0,1.32,590.0,0.371
Kheda,KHEDA,Kheda,7.52,6328.0,4240.0,1850.0,380.0,216.0,635.0,38.0,0.0,1244.0,1418.0,70.0,121.0,1.0,1020.0,0.073
Kheda,KATHLAL,Ladvel,8.04,1988.0,1332.0,430.0,76.0,58.0,260.0,8.7,0.0,659.0,298.0,20.0,10.0,0.95,540.0,0.564
Kheda,MAHUDHA,Mahudha,7.98,2280.0,1528.0,460.0,64.0,72.0,320.0,31.0,0.0,830.0,305.0,36.0,8.0,1.0,680.0,0.168
Kheda,Tharsa,Muliyad,7.32,10980.0,7357.0,2800.0,40.0,432.0,1430.0,21.0,0.0,305.0,3545.0,6.0,564.0,0.8,250.0,0.301
Kheda,NADIAD,Nadiad2,8.17,1290.0,864.0,500.0,72.0,77.0,60.0,0.7,0.0,644.0,64.0,2.0,8.0,0.57,528.0,0.139
Kheda,MATAR,Shekhupura,8.87,3587.0,2403.0,500.0,120.0,48.0,492.0,260.0,144.0,598.0,603.0,11.0,270.0,0.15,730.0,0.011
Mahesana,BECHARAJI,Asjol,8.23,760.0,509.0,270.0,88.0,12.0,49.0,22.6,0.0,268.0,64.0,66.0,11.0,0.4,220.0,0.873
Mahesana,VISNAGAR,Bhandupara,7.42,2920.0,1956.0,300.0,44.0,46.0,430.0,20.2,0.0,366.0,497.0,9.0,207.0,0.85,300.0,0.0
Mahesana,BECHARAJI,Dharpura,8.45,2609.0,1748.0,360.0,56.0,53.0,401.0,44.7,54.0,610.0,227.0,22.0,285.0,1.25,590.0,0.0
