DISTRICT,LOCATION,PH,EC,TDS,TH,CA,MG,NA,K,CO3,HCO3,CL,NO3,SO4,F,ALK,YEAR,SAR,WQI,WQI_CLASSIF,EWQI,EWQI_CLASSIF,CCME-WQI,CCME-WQI_CLASSIF
Bharuch,Bharuch,7.91,2644.0,1771.0,750.0,140.0,96.0,282.0,1.8,0.0,464.0,603.0,6.0,111.0,0.3,380.0,2017,,47.48269032078603,Good,198.02471428044683,Unsuitable,158.37999295013958,
Bharuch,Bhensli,8.27,693.0,464.0,160.0,32.0,19.0,106.0,13.0,0.0,317.0,78.0,6.0,13.0,0.4,260.0,2017,,38.37219722031811,Good,59.40291858316722,Poor,304.3905071503303,
Bharuch,Chhindra,8.21,1103.0,739.0,360.0,72.0,43.0,96.0,47.0,0.0,403.0,121.0,68.0,10.0,0.26,330.0,2017,,39.51456112551619,Good,106.29002393832576,Unsuitable,194.62797649323738,
Bharuch,Dahegam,7.88,828.0,555.0,330.0,84.0,29.0,56.0,31.0,0.0,354.0,64.0,3.0,65.0,0.07,290.0,2017,,21.02049270308666,Excellent,71.63358976674175,Poor,131.1754887304545,
Bharuch,Jambusar2,8.04,1000.0,670.0,330.0,88.0,26.0,108.0,18.4,0.0,439.0,64.0,50.0,70.0,0.11,360.0,2017,,27.618931077532395,Good,92.38613485427128,Very Poor,194.5983620641881,
Bharuch,Jetpur1,8.2,1754.0,1175.0,440.0,96.0,48.0,210.0,38.0,0.0,708.0,191.0,30.0,16.0,0.9,580.0,2017,,73.92534025770175,Poor,134.41590289641502,Unsuitable,138.1467123368138,
Bharuch,Jokhla,8.12,942.0,631.0,260.0,92.0,7.0,116.0,0.7,0.0,451.0,78.0,15.0,15.0,1.2,370.0,2017,,79.1021595187713,Very Poor,78.74843351476095,Very Poor,73.51429317234667,Fair
Bharuch,Kaswa,7.24,683.0,458.0,310.0,64.0,36.0,35.0,20.0,0.0,366.0,42.0,10.0,17.0,0.12,300.0,2017,,18.43833752239409,Excellent,59.82849691886082,Poor,188.92902306068282,
Bharuch,Kavachiya,8.03,506.0,339.0,200.0,48.0,19.0,36.0,0.3,0.0,281.0,21.0,17.0,3.0,0.3,230.0,2017,,31.54309111289933,Good,51.98459551428888,Poor,246.7188167150748,
Bharuch,Kavi,8.41,1823.0,1221.0,200.0,32.0,29.0,159.0,300.0,120.0,561.0,128.0,60.0,20.0,0.5,660.0,2017,,53.83605812694344,Poor,126.08801436640212,Unsuitable,393.4696213928156,
Bharuch,Kondh,8.1,1232.0,825.0,220.0,28.0,36.0,206.0,1.4,0.0,427.0,156.0,46.0,52.0,1.5,350.0,2017,,98.63478269868236,Very Poor,103.80670233851,Unsuitable,138.1884035348194,
Bharuch,Luhara,8.47,2676.0,1793.0,650.0,100.0,96.0,200.0,250.0,204.0,536.0,284.0,96.0,114.0,0.34,779.0,2017,,61.27100507654556,Poor,213.26958973533743,Unsuitable,316.5674300492998,
Bharuch,Mahegam1,8.07,656.0,440.0,200.0,60.0,12.0,60.0,7.7,0.0,317.0,43.0,10.0,0.0,0.3,260.0,2017,,31.33686969537416,Good,56.03329992059594,Poor,246.69423986046172,
Bharuch,Motwan,8.02,3561.0,2386.0,850.0,180.0,96.0,462.0,12.5,0.0,439.0,744.0,16.0,400.0,0.8,360.0,2017,,77.15715352493731,Very Poor,258.64429968486644,Unsuitable,188.84195831647514,
Bharuch,Mungaj,8.0,2435.0,1631.0,650.0,120.0,84.0,300.0,12.3,0.0,573.0,496.0,49.0,80.0,0.47,470.0,2017,,57.44945550488944,Poor,191.6296064711887,Unsuitable,236.76989654646997,
Bharuch,Navetha,7.7,2637.0,1767.0,900.0,180.0,108.0,183.0,46.0,0.0,403.0,567.0,2.0,149.0,0.08,330.0,2017,,36.35247229093607,Good,202.95650917959708,Unsuitable,236.831220378919,
Bharuch,Nirnavi,8.13,860.0,576.0,290.0,56.0,36.0,98.0,16.6,0.0,476.0,50.0,5.0,35.0,0.45,390.0,2017,,43.644335661325215,Good,75.70198763529466,Very Poor,131.18277397212543,
Bharuch,Panoli,7.94,2271.0,1522.0,500.0,80.0,72.0,307.0,0.5,0.0,610.0,354.0,50.0,113.0,1.5,500.0,2017,,106.45326779854096,Unsuitable,174.21870705636547,Unsuitable,108.23456304009403,
Bharuch,Raymal,7.86,787.0,527.0,240.0,48.0,29.0,77.0,6.9,0.0,305.0,99.0,7.0,8.0,0.67,250.0,2017,,50.211013835490775,Poor,66.84265487064057,Poor,188.85464633272187,
Bharuch,Roja tankaria,8.03,762.0,511.0,240.0,56.0,24.0,87.0,13.6,0.0,317.0,106.0,5.0,12.0,0.34,260.0,2017,,34.49313383138451,Good,65.8743470889471,Poor,188.8984019611085,
Bharuch,Sahol,7.31,5512.0,3693.0,2450.0,660.0,192.0,200.0,3.8,0.0,180.0,1524.0,8.0,529.0,1.0,148.0,2017,,107.00616743990436,Unsuitable,465.51670691569234,Unsuitable,514.4240491622119,
Bharuch,Sajod,8.84,1710.0,1146.0,170.0,16.0,31.0,343.0,2.5,192.0,390.0,128.0,20.0,67.0,2.68,640.0,2017,,165.54779685207814,Unsuitable,125.6027825244472,Unsuitable,416.57072558611014,
Bharuch,Sarod,8.02,1880.0,1260.0,410.0,44.0,72.0,246.0,6.6,0.0,1061.0,35.0,15.0,10.0,1.1,870.0,2017,,85.72245651158865,Very Poor,132.23216501278586,Unsuitable,211.15840752824494,
Bharuch,Simodra,8.29,1837.0,1231.0,300.0,36.0,50.0,257.0,4.3,0.0,281.0,418.0,13.0,19.0,0.33,230.0,2017,,41.51356899697659,Good,127.30590944083416,Unsuitable,138.26685750364962,
Bharuch,Sindhav,8.07,1100.0,737.0,280.0,36.0,46.0,130.0,23.6,0.0,451.0,121.0,5.0,14.0,0.5,370.0,2017,,46.745051692678594,Good,85.96853194390762,Very Poor,131.18878655656638,
Bharuch,Tankari,8.67,3000.0,2010.0,950.0,120.0,156.0,250.0,50.0,192.0,281.0,461.0,43.0,238.0,0.58,550.0,2017,,79.79191196680543,Very Poor,248.14185038262812,Unsuitable,351.0722943149701,
Bharuch,Utraj,8.09,800.0,536.0,190.0,32.0,26.0,106.0,1.8,0.0,439.0,35.0,3.0,6.0,0.68,360.0,2017,,52.549282230103614,Poor,63.64744546847902,Poor,246.63045113931037,
Bharuch,Chiklata,7.77,860.0,576.0,290.0,52.0,38.0,67.0,0.4,0.0,390.0,57.0,35.0,4.0,0.8,320.0,2017,,59.42188511045544,Poor,79.3489824085422,Very Poor,131.15623074491404,
Bharuch,Temroloya,7.82,562.0,377.0,190.0,68.0,5.0,60.0,1.5,0.0,281.0,43.0,26.0,6.0,0.4,230.0,2017,,33.978949307397585,Good,53.6937748360671,Poor,304.40987526934174,
Bhavnagar,Ayodhyapuram(Narayan dham),8.28,4850.0,3250.0,220.0,56.0,19.0,1061.0,1.0,0.0,1464.0,866.0,11.0,66.0,4.4,1200.0,2017,,256.5285496908706,Unsuitable,278.0936462270693,Unsuitable,366.037235620848,
Bhavnagar,Bhavnagar1,8.28,902.0,604.0,180.0,16.0,32.0,155.0,0.3,0.0,317.0,142.0,14.0,40.0,0.47,260.0,2017,,44.25299211529354,Good,75.82146597765905,Very Poor,188.90095435502894,
Bhavnagar,Bhumbhali,8.01,5461.0,3659.0,1200.0,120.0,219.0,687.0,19.8,0.0,390.0,1385.0,12.0,369.0,0.56,320.0,2017,,82.8375895349646,Very Poor,385.73741882897616,Unsuitable,351.4463803286156,
Bhavnagar,Bora,8.28,1433.0,960.0,50.0,12.0,7.0,320.0,1.8,0.0,671.0,85.0,40.0,35.0,2.2,550.0,2017,,132.8525856273822,Unsuitable,99.21391779232776,Very Poor,251.57446957386958,
Bhavnagar,Datha,7.96,4209.0,2820.0,480.0,48.0,88.0,756.0,4.8,0.0,293.0,1221.0,4.0,128.0,1.08,240.0,2017,,86.26868999956949,Very Poor,264.6498337935704,Unsuitable,236.9061509022838,
Bhavnagar,Dhasa,8.07,514.0,344.0,230.0,52.0,24.0,18.0,12.3,0.0,244.0,36.0,18.0,3.0,0.0,200.0,2017,,17.310154084582607,Excellent,54.18033234993727,Poor,246.72004482874615,
Bhavnagar,Dudhala,8.01,1699.0,1138.0,460.0,56.0,78.0,175.0,2.8,0.0,403.0,270.0,120.0,25.0,0.75,330.0,2017,,70.81534487725888,Poor,158.38037869766856,Unsuitable,211.1909353161687,
Bhavnagar,Gadhada2,8.17,744.0,498.0,250.0,96.0,15.0,68.0,1.6,0.0,329.0,57.0,20.0,29.0,0.28,270.0,2017,,33.2292068601251,Good,69.90564607560127,Poor,188.92811489960633,
Bhavnagar,Gariyadhar,7.95,1987.0,1331.0,600.0,96.0,88.0,180.0,3.4,0.0,232.0,405.0,70.0,158.0,0.55,190.0,2017,,59.3528193372343,Poor,172.831331617853,Unsuitable,211.00726469089085,
Bhavnagar,Ghogha,8.19,4256.0,2852.0,400.0,32.0,78.0,762.0,63.2,0.0,488.0,909.0,300.0,110.0,0.38,400.0,2017,,68.55805342791007,Poor,322.3308043090911,Unsuitable,288.24039949670106,
