YEAR,WELL NO.,LOCATION,DISTRICT,TALUKA,SITE,HCO3,DATE,ALK,TDS,SO4,SAR,NO3,CO3,EC,ID,NA,TH,FE,CA,MG,CL,PH,K,F
2017,,Sajnasar,Bhavnagar,PALITANA,,476.0,,390.0,767.0,37.0,,30.0,0.0,1145.0,122.0,77.0,450.0,0.424,136.0,27.0,114.0,8.11,10.8,0.75
2017,,Sandhida,Bhavnagar,SIHOR,,268.0,,220.0,372.0,4.0,,15.0,0.0,555.0,123.0,36.0,220.0,0.101,28.0,36.0,43.0,8.13,2.4,0.35
2017,,Shantinagar,Bhavnagar,MAHUVA,,610.0,,500.0,1580.0,187.0,,38.0,0.0,2358.0,124.0,135.0,940.0,0.439,184.0,117.0,355.0,8.13,10.9,0.31
2017,,Talaja2,Bhavnagar,TALAJA,,281.0,,230.0,880.0,75.0,,66.0,0.0,1314.0,125.0,105.0,490.0,0,32.0,88.0,249.0,8.02,0.5,0.38
2017,,Tardhera,Bhavnagar,BOTAD,,73.0,,60.0,1375.0,99.0,,64.0,0.0,2052.0,126.0,220.0,680.0,0.156,176.0,56.0,660.0,8.21,2,0.15
2017,,Tatam,Bhavnagar,GADHADA,,195.0,,160.0,7323.0,374.0,,575.0,0.0,10930.0,127.0,450.0,4450.0,0.486,540.0,754.0,3089.0,7.33,59.8,0.97
2017,,Timbi2,Bhavnagar,UMRALA,,122.0,,100.0,196.0,3.0,,7.0,0.0,293.0,128.0,23.0,100.0,0.211,28.0,7.0,28.0,8.21,4,0.33
2017,,Trapaj,Bhavnagar,TALAJA,,610.0,,500.0,1004.0,26.0,,31.0,0.0,1498.0,129.0,67.0,650.0,0.53,16.0,148.0,170.0,8.16,25,0.2
2017,,Vallbhipur,Bhavnagar,Vallabhipur,,159.0,,130.0,365.0,25.0,,6.0,0.0,545.0,130.0,80.0,100.0,0.889,24.0,10.0,78.0,8.18,2.2,0.57
2017,,Vavdi,Bhavnagar,Ghogha,,281.0,,230.0,507.0,24.0,,33.0,0.0,756.0,131.0,62.0,260.0,0.092,20.0,51.0,78.0,8.28,0.8,0.54
2017,,Dabhel,Daman,Daman,,488.0,,400.0,869.0,15.0,,3.0,0.0,1297.0,132.0,135.0,370.0,3.169,76.0,44.0,171.0,7.97,0.4,0.33
2017,,Dalwada,Daman,Daman,,378.0,,310.0,504.0,7.0,,31.0,0.0,752.0,133.0,80.0,230.0,0.534,44.0,29.0,43.0,8.07,2.2,0.0
2017,,Jempur,Daman,Daman,,512.0,,420.0,692.0,11.0,,12.0,0.0,1033.0,134.0,112.0,290.0,0.293,56.0,36.0,64.0,8.09,22.2,0.4
